p;E1_lower;separability
0.0;0.09175169254301963;Separability.entangled
0.04;0.04289701488661235;Separability.entangled
0.08;0.02411143748506528;Separability.entangled
0.12;0.014560198763313825;Separability.entangled
0.16;0.00988244387911752;Separability.entangled
0.2;0.007222647849694175;Separability.entangled
0.24;0.005254101660933208;Separability.entangled
0.28;0.0038090648400419536;Separability.entangled
0.32;0.002790872077686468;Separability.entangled
0.36;0.0021142577320506506;Separability.entangled
0.4;0.0016920516835919885;Separability.entangled
0.44;0.0014331944110624883;Separability.entangled
0.48;0.0012818030601371433;Separability.entangled
0.52;0.001210819071006508;Separability.entangled
0.56;0.0012139708463225762;Separability.entangled
0.6;0.0013122360495519958;Separability.entangled
0.64;0.0015703611743068668;Separability.entangled
0.68;0.0020020645445414376;Separability.entangled
0.72;0.002655494073668163;Separability.entangled
0.76;0.003597874895103881;Separability.entangled
0.8;0.0049102396461812026;Separability.entangled
0.84;0.00672312459050961;Separability.entangled
0.88;0.009990629583383925;Separability.entangled
0.92;0.016829936141210644;Separability.entangled
0.96;0.030014703295692446;Separability.entangled
1.0;0.06698466793689783;Separability.entangled
