p;E1_lower;separability
0.0;0.09175169150432017;Separability.entangled
0.02;0.06582713823339226;Separability.entangled
0.04;0.04985162154913614;Separability.entangled
0.06;0.038957051391945274;Separability.entangled
0.08;0.030837401135547893;Separability.entangled
0.1;0.024481869494811015;Separability.entangled
0.12;0.01937604905360013;Separability.entangled
0.14;0.015212058738073742;Separability.entangled
0.16;0.011792861673305843;Separability.entangled
0.18;0.008980254510447816;Separability.entangled
0.2;0.006675148767547712;Separability.entangled
0.22;0.004801555624400211;Separability.entangled
0.24;0.0033018142328417044;Separability.entangled
0.26;0.0021273297775792344;Separability.entangled
0.28;0.0012422461919069372;Separability.entangled
0.3;0.0006132483376400932;Separability.entangled
0.32;0.00021499005376601765;Separability.inconclusive
0.34;2.394442861874957e-05;Separability.entangled
0.36;1e-08;Separability.inconclusive
0.38;1e-08;Separability.inconclusive
0.4;1e-08;Separability.inconclusive
0.42;1e-08;Separability.inconclusive
0.44;1e-08;Separability.inconclusive
0.46;1e-08;Separability.inconclusive
0.48;1e-08;Separability.inconclusive
0.5;1e-08;Separability.inconclusive
0.52;1e-08;Separability.inconclusive
0.54;1e-08;Separability.inconclusive
0.56;1e-08;Separability.inconclusive
0.58;1e-08;Separability.inconclusive
0.6;1e-08;Separability.inconclusive
0.62;1e-08;Separability.inconclusive
0.64;3.294182928881284e-06;Separability.inconclusive
0.66;0.00011125080714136093;Separability.inconclusive
0.68;0.0003771176572612278;Separability.entangled
0.7000000000000001;0.0008076055465106036;Separability.entangled
0.72;0.0014090368100500017;Separability.entangled
0.74;0.002190476243646655;Separability.entangled
0.76;0.0031614997804895184;Separability.entangled
0.78;0.004334199566776165;Separability.entangled
0.8;0.005722822653958071;Separability.entangled
0.8200000000000001;0.007343067434984141;Separability.entangled
0.84;0.009215848194170873;Separability.entangled
0.86;0.011363130657120024;Separability.entangled
0.88;0.013814739302986379;Separability.entangled
0.9;0.01660712407223075;Separability.entangled
0.92;0.019785062358469885;Separability.entangled
0.9400000000000001;0.02340769615384608;Separability.entangled
0.96;0.027554113861134488;Separability.entangled
0.98;0.032334927847940675;Separability.entangled
1.0;0.03791029324171058;Separability.entangled
