p;E1_lower;separability
0.0;0.06698466793689783;Separability.entangled
0.04;0.028095698961187354;Separability.entangled
0.08;0.01644513559225691;Separability.entangled
0.12;0.010467658950334968;Separability.entangled
0.16;0.007509657090763899;Separability.entangled
0.2;0.005443265711687295;Separability.entangled
0.24;0.0038593825621489053;Separability.entangled
0.28;0.002647957507687204;Separability.entangled
0.32;0.001734195622321577;Separability.entangled
0.36;0.0010632108101805704;Separability.entangled
0.4;0.0005920540224590987;Separability.entangled
0.44;0.00028449862379464896;Separability.entangled
0.48;0.00010704268659789129;Separability.entangled
0.52;2.524006566384518e-05;Separability.entangled
0.56;1.828865453190609e-06;Separability.entangled
0.6;1e-08;Separability.inconclusive
0.64;1.987919088120016e-06;Separability.inconclusive
0.68;3.055296505094507e-05;Separability.entangled
0.72;0.00014102048114017496;Separability.entangled
0.76;0.00040565383872526173;Separability.entangled
0.8;0.000910930296703194;Separability.entangled
0.84;0.001768849299157993;Separability.entangled
0.88;0.0031465194192139556;Separability.entangled
0.92;0.005425437859353233;Separability.entangled
0.96;0.011066673532166171;Separability.entangled
1.0;0.033730200115388076;Separability.entangled
