p;E1_lower;separability
0.0;0.03791029324171058;Separability.entangled
0.02;0.019417870138401683;Separability.entangled
0.04;0.012497323695270568;Separability.entangled
0.06;0.008020810765684838;Separability.entangled
0.08;0.004941551896111562;Separability.entangled
0.1;0.002810964186024223;Separability.entangled
0.12;0.0013821998345375786;Separability.entangled
0.14;0.0005094606507036747;Separability.entangled
0.16;8.18462375150597e-05;Separability.entangled
0.18;1e-08;Separability.inconclusive
0.2;1e-08;Separability.inconclusive
0.22;1e-08;Separability.inconclusive
0.24;1e-08;Separability.inconclusive
0.26;1e-08;Separability.inconclusive
0.28;1e-08;Separability.inconclusive
0.3;1e-08;Separability.inconclusive
0.32;1e-08;Separability.inconclusive
0.34;1e-08;Separability.inconclusive
0.36;1e-08;Separability.inconclusive
0.38;1e-08;Separability.inconclusive
0.4;1e-08;Separability.inconclusive
0.42;1e-08;Separability.inconclusive
0.44;1e-08;Separability.inconclusive
0.46;1e-08;Separability.inconclusive
0.48;1e-08;Separability.inconclusive
0.5;1e-08;Separability.inconclusive
0.52;1e-08;Separability.inconclusive
0.54;1e-08;Separability.inconclusive
0.56;1e-08;Separability.inconclusive
0.58;1e-08;Separability.inconclusive
0.6;1e-08;Separability.inconclusive
0.62;1e-08;Separability.inconclusive
0.64;1e-08;Separability.inconclusive
0.66;1e-08;Separability.inconclusive
0.68;1e-08;Separability.inconclusive
0.7000000000000001;1e-08;Separability.inconclusive
0.72;1e-08;Separability.inconclusive
0.74;1e-08;Separability.inconclusive
0.76;1e-08;Separability.inconclusive
0.78;1e-08;Separability.inconclusive
0.8;1e-08;Separability.inconclusive
0.8200000000000001;8.363398644517517e-05;Separability.inconclusive
0.84;0.0004882419778208247;Separability.entangled
0.86;0.0012987718075766486;Separability.entangled
0.88;0.002614544179587397;Separability.entangled
0.9;0.004573220298611402;Separability.entangled
0.92;0.007382550090081819;Separability.entangled
0.9400000000000001;0.011392828424108492;Separability.entangled
0.96;0.017287796948675216;Separability.entangled
0.98;0.026806675597751517;Separability.entangled
1.0;0.05297284116835543;Separability.entangled
